Date,Year,Type,Area,Location,Sex,Injury,Fatal,Time,Species,AgeGroup,ActivityGroup,CleanedCountry,TimeOfDay,TimePeriod,country
2017-08-23,2017.0,Unprovoked,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",Male,Unknown,False,10h00,Great White Shark,Senior,Other/Unknown,Other/Unknown,Morning,Morning,United States
2017-08-18,2017.0,Unprovoked,,,Male,Unknown,False,15h00,Unknown Shark,,On Boat,North America,Afternoon,Afternoon,Unknown
2017-08-10,2017.0,Unprovoked,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Male,Minor injury,False,13h30,Blacktip Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,United States
2017-08-05,2017.0,Unprovoked,Red Sea Protectorate,Marsa Ghalib,Female,Unknown,False,,Oceanic Whitetip Shark,Adult,Other/Unknown,Africa,Unknown,Unknown,Unknown
2017-08-03,2017.0,Provoked,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Male,Unknown,False,23h30,Unknown Shark,Adult,On Boat,Other/Unknown,Overnight,Overnight,United States
2017-08-01,2017.0,Boating,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Male,No injury,False,10h45,Great White Shark,,In Water,Other/Unknown,Morning,Morning,Unknown
2017-07-31,2017.0,Unprovoked,Florida,"Jacksonvlle, Duval County",Male,Unknown,False,18h30,Unknown Shark,Teen,Other/Unknown,Other/Unknown,Evening,Evening,Unknown
2017-07-29,2017.0,Invalid,South Carolina,"Hilton Head Island, Beaufort County",Male,Unknown,False,15h00,Unknown Shark,Child,In Water,Other/Unknown,Afternoon,Afternoon,United States
2017-07-29,2017.0,Unprovoked,South Carolina,"Debordieu Colony, Georgetown County",Female,Minor injury,False,Afternoon,Unknown Shark,Child,Other/Unknown,Other/Unknown,Afternoon,Afternoon,United States
2017-07-27,2017.0,Unprovoked,New Providence District,Rose Island,Female,Unknown,False,,Unknown Shark,,Other/Unknown,North America,Unknown,Unknown,Unknown
,2017.0,Unprovoked,40 Miles Off Grand Bahama Island,,Male,Unknown,False,,Unknown Shark,,On Boat,North America,Unknown,Unknown,Unknown
2017-07-24,2017.0,Unprovoked,Ascension Island,English Bay,Male,Unknown,False,17h00,Unknown Shark,Adult,In Water,Africa,Afternoon,Evening,Ascension and Tristan da Cunha
2017-07-23,2017.0,Unprovoked,New Jersey,Ventnor,Female,Minor injury,False,,Tiger Shark,,Other/Unknown,Other/Unknown,Unknown,Unknown,United States
2017-07-23,2017.0,Unprovoked,Majorca,"Estanys Beach, Colonia De Sant",Female,Unknown,False,Afternoon,Unknown Shark,,In Water,Europe,Afternoon,Afternoon,Unknown
